wallet_id,total_transaction_count,total_transaction_sum,big_transaction_count,big_transaction_sum,small_transaction_count,small_transaction_sum,from_transaction_count,from_transaction_sum,to_transaction_count,to_transaction_sum,to_unique_wallet,from_unique_wallet,from_unique_big,to_unique_big,from_unique_small,to_unique_small,classification
286599,1,250000000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
286701,8,1481930824715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
286743,1,521131421,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
286776,3,899995000,3,899995000,3,899995000,0,0,0,0,0,0,0,0,0,0,Negative
286845,4,72172689,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
286863,1,638000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
286890,2,441572666,2,441572666,2,441572666,0,0,0,0,0,0,0,0,0,0,Positive
286905,4,15050854281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
286911,1,2720000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
286983,1,755000000,0,0,0,0,1,755000000,0,0,0,1,0,0,0,0,Positive
287052,3,34380,3,34380,3,34380,0,0,0,0,0,0,0,0,0,0,Negative
287055,3,114546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
287145,1,1033827698,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Positive
287202,5,60888000000,5,60888000000,5,60888000000,0,0,0,0,0,0,0,0,0,0,Negative
